sampleid,x,y
0,692,1
1,957,1
2,287,1
3,371,1
4,1015,0
5,770,1
6,91,1
7,398,1
8,902,1
9,533,1
10,149,1
11,353,1
12,39,1
13,139,1
14,985,1
15,295,1
16,828,1
17,750,1
18,886,1
19,949,1
20,317,1
21,1016,0
22,164,1
23,661,1
24,225,1
25,892,1
26,302,1
27,438,1
28,897,1
29,768,1
30,10,1
31,670,1
32,988,1
33,1021,0
34,805,1
35,392,1
36,557,1
37,422,1
38,13,1
39,150,1
40,681,1
41,86,1
42,922,1
43,632,1
44,916,1
45,476,1
46,662,1
47,864,1
48,873,1
49,605,1
50,279,1
51,653,1
52,510,1
53,532,1
54,917,1
55,647,1
56,381,1
57,291,1
58,2,1
59,609,1
60,58,1
61,41,1
62,370,1
63,221,1
64,911,1
65,40,1
66,961,1
67,731,1
68,953,1
69,49,1
70,591,1
71,147,1
72,62,1
73,973,1
74,775,1
75,594,1
76,480,1
77,83,1
78,765,1
79,467,1
80,318,1
81,478,1
82,109,1
83,140,1
84,671,1
85,476,1
86,953,1
87,54,1
88,145,1
89,708,1
90,333,1
91,375,1
92,248,1
93,1011,0
94,212,1
95,965,1
96,311,1
97,981,1
98,158,1
99,599,1
100,817,1
101,23,1
102,707,1
103,644,1
104,558,1
105,898,1
106,300,1
107,219,1
108,296,1
109,428,1
110,679,1
111,1007,0
112,250,1
113,696,1
114,1018,0
115,420,1
116,12,1
117,144,1
118,306,1
119,648,1
120,908,1
121,854,1
122,821,1
123,231,1
124,591,1
125,521,1
126,397,1
127,883,1
128,88,1
129,976,1
130,543,1
131,564,1
132,252,1
133,897,1
134,389,1
135,504,1
136,1022,0
137,422,1
138,741,1
139,769,1
140,446,1
141,601,1
142,872,1
143,544,1
144,351,1
145,648,1
146,604,1
147,147,1
148,172,1
149,244,1
150,270,1
151,656,1
152,593,1
153,102,1
154,248,1
155,488,1
156,621,1
157,986,1
158,968,1
159,82,1
160,205,1
161,338,1
162,719,1
163,234,1
164,612,1
165,0,1
166,266,1
167,756,1
168,269,1
169,970,1
170,187,1
171,814,1
172,875,1
173,294,1
174,266,1
175,370,1
176,152,1
177,117,1
178,389,1
179,207,1
180,218,1
181,147,1
182,988,1
183,178,1
184,631,1
185,1,1
186,158,1
187,453,1
188,206,1
189,867,1
190,414,1
191,115,1
192,162,1
193,597,1
194,178,1
195,468,1
196,948,1
197,780,1
198,607,1
199,776,1
200,508,1
201,340,1
202,257,1
203,424,1
204,965,1
205,425,1
206,777,1
207,434,1
208,944,1
209,881,1
210,561,1
211,601,1
212,142,1
213,763,1
214,975,1
215,915,1
216,149,1
217,892,1
218,879,1
219,114,1
220,603,1
221,325,1
222,869,1
223,969,1
224,775,1
225,586,1
226,674,1
227,851,1
228,105,1
229,708,1
230,868,1
231,698,1
232,456,1
233,740,1
